"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50","Create course","LMS service","2026-08-24","passed","2026-08-24","Create entity","Courses","",""
"","14","Update exercise","LMS service","2026-08-24","passed","2026-08-24","Update entity","Exercises","",""
"","70","Create file","LMS service","2026-08-24","passed","2026-08-24","Create entity","Files","",""
"","428","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","11","Get file","LMS service","2026-08-24","passed","2026-08-24","Get entity","Files","",""
"","420","Login with correct email and password","LMS service","2026-08-24","passed","2026-08-24","Login","Authentication","",""
"","14","Get exercises","LMS service","2026-08-24","passed","2026-08-24","Get entities","Exercises","",""
"","117","Create exercise","LMS service","2026-08-24","passed","2026-08-24","Create entity","Exercises","",""
"","37","Delete file","LMS service","2026-08-24","passed","2026-08-24","Delete entity","Files","",""
"","33","Get exercise","LMS service","2026-08-24","passed","2026-08-24","Get entity","Exercises","",""
"","212","Get user me","LMS service","2026-08-24","passed","2026-08-24","Get entity","Users","",""
"","588","Get file with incorrect file id","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","16","Delete exercise","LMS service","2026-08-24","passed","2026-08-24","Delete entity","Exercises","",""
"","11","Create file with empty directory","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","556","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","238","Update course","LMS service","2026-08-24","passed","2026-08-24","Update entity","Courses","",""
"","216","Create file with empty filename","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","234","Get courses","LMS service","2026-08-24","passed","2026-08-24","Get entities","Courses","",""
"","436","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
