"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","274","Update course","LMS service","2026-08-24","passed","2026-08-24","Update entity","Courses","",""
"","270","Delete exercise","LMS service","2026-08-24","passed","2026-08-24","Delete entity","Exercises","",""
"","260","Get exercises","LMS service","2026-08-24","passed","2026-08-24","Get entities","Exercises","",""
"","239","Get file with incorrect file id","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","20","Delete file","LMS service","2026-08-24","passed","2026-08-24","Delete entity","Files","",""
"","272","Create course","LMS service","2026-08-24","passed","2026-08-24","Create entity","Courses","",""
"","242","Create file with empty directory","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","493","Login with correct email and password","LMS service","2026-08-24","passed","2026-08-24","Login","Authentication","",""
"","265","Create exercise","LMS service","2026-08-24","passed","2026-08-24","Create entity","Exercises","",""
"","270","Get courses","LMS service","2026-08-24","passed","2026-08-24","Get entities","Courses","",""
"","250","Create file with empty filename","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","241","Create file","LMS service","2026-08-24","passed","2026-08-24","Create entity","Files","",""
"","11","Get user me","LMS service","2026-08-24","passed","2026-08-24","Get entity","Users","",""
"","261","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","503","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","19","Update exercise","LMS service","2026-08-24","passed","2026-08-24","Update entity","Exercises","",""
"","495","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","12","Get file","LMS service","2026-08-24","passed","2026-08-24","Get entity","Files","",""
"","12","Get exercise","LMS service","2026-08-24","passed","2026-08-24","Get entity","Exercises","",""
