"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Get courses","LMS service","2026-08-24","passed","2026-08-24","Get entities","Courses","",""
"","282","Login with correct email and password","LMS service","2026-08-24","passed","2026-08-24","Login","Authentication","",""
"","19","Create file with empty directory","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","502","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","265","Get file with incorrect file id","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","17","Create file","LMS service","2026-08-24","passed","2026-08-24","Create entity","Files","",""
"","252","Create file with empty filename","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","26","Create course","LMS service","2026-08-24","passed","2026-08-24","Create entity","Courses","",""
"","12","Get user me","LMS service","2026-08-24","passed","2026-08-24","Get entity","Users","",""
"","529","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","259","Delete exercise","LMS service","2026-08-24","passed","2026-08-24","Delete entity","Exercises","",""
"","16","Get exercises","LMS service","2026-08-24","passed","2026-08-24","Get entities","Exercises","",""
"","22","Update exercise","LMS service","2026-08-24","passed","2026-08-24","Update entity","Exercises","",""
"","15","Get file","LMS service","2026-08-24","passed","2026-08-24","Get entity","Files","",""
"","534","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","261","Update course","LMS service","2026-08-24","passed","2026-08-24","Update entity","Courses","",""
"","26","Create exercise","LMS service","2026-08-24","passed","2026-08-24","Create entity","Exercises","",""
"","21","Delete file","LMS service","2026-08-24","passed","2026-08-24","Delete entity","Files","",""
"","52","Get exercise","LMS service","2026-08-24","passed","2026-08-24","Get entity","Exercises","",""
